id,name,rate,rate2010,earnings,num,population,,,
16011,Bingham,1088,1610,517626,210,32877,,,
19013,Black Hawk,909,1345,2760202,211,146870,,,
18009,Blackford,230,340,163541,212,15610,,,
37017,Bladen,531,786,451032,213,20113,,,
16013,Blaine,168,249,603350,214,30908,,,
40011,Blaine,676,1000,114600,215,14068,,,
30005,Blaine,409,605,61585,216,5789,,,
31009,Blaine,93,138,252,217,527,,,
42013,Blair,349,517,2301499,218,125455,,,
48031,Blanco,496,734,99242,219,10833,,,
51021,Bland,299,443,71110,220,10591,,,
13023,Bleckley,179,265,136591,221,12920,,,
47007,Bledsoe,443,656,106834,222,16989,,,
47009,Blount,929,1375,1791608,223,89437,,,
1009,Blount,1029,1523,383627,224,54709,,,
27013,Blue Earth,959,1419,1300363,225,145492,,,
16015,Boise,55,81,47670,226,7955,,,
28011,Bolivar,265,392,439094,227,36864,,,
29017,Bollinger,709,1049,73662,228,9960,,,
46009,Bon Homme,687,1017,88332,229,5666,,,
17005,Bond,547,810,181735,230,16301,,,
16017,Bonner,436,645,462127,231,29364,,,
16019,Bonneville,645,955,1646883,232,91165,,,
21015,Boone,682,1009,3264014,233,202546,,,
29019,Boone,1101,1629,3109148,234,264393,,,
18011,Boone,581,860,710934,235,54866,,,
17007,Boone,433,641,699585,236,47537,,,
5009,Boone,1095,1621,523067,237,38780,,,
54005,Boone,35,52,408910,238,28170,,,
19015,Boone,726,1074,360353,239,35539,,,
31011,Boone,678,1003,79580,240,9611,,,
48033,Borden,99,147,3918,241,483,,,
48035,Bosque,885,1310,151387,242,16626,,,
22015,Bossier,341,505,1586188,243,124699,,,
51023,Botetourt,455,673,369925,244,32050,,,
38009,Bottineau,682,1009,97361,245,7382,,,
8013,Boulder,622,921,11138840,246,674028,,,
16021,Boundary,242,358,116682,247,8577,,,
21017,Bourbon,732,1083,309454,248,16812,,,
20011,Bourbon,715,1058,212339,249,9089,,,
48037,Bowie,894,1323,1474759,250,69231,,,
38011,Bowman,303,448,48561,251,3361,,,
31013,Box Butte,442,654,268066,252,22287,,,
49003,Box Elder,852,1261,815925,253,39367,,,
21019,Boyd,190,281,1159965,254,78574,,,
31015,Boyd,360,533,20357,255,3816,,,
21021,Boyle,606,897,637768,256,49336,,,
21023,Bracken,588,870,48008,257,2236,,,
42015,Bradford,1167,1727,948831,258,41792,,,
12007,Bradford,278,411,253700,259,19778,,,
47011,Bradley,644,953,1738248,260,79228,,,
5011,Bradley,220,326,145663,261,9384,,,
26023,Branch,857,1268,623856,262,40918,,,
13025,Brantley,220,326,82935,263,9656,,,
54007,Braxton,275,407,133286,264,15048,,,
48039,Brazoria,1286,1903,3727146,265,148641,,,
48041,Brazos,878,1299,2691452,266,217937,,,
21025,Breathitt,247,366,114915,267,8077,,,
21027,Breckinridge,1309,1937,111375,268,8251,,,
19017,Bremer,950,1406,366029,269,23089,,,
12009,Brevard,383,567,8675720,270,484229,,,
48043,Brewster,87,129,138163,271,14302,,,
48045,Briscoe,192,284,18536,272,2171,,,
25005,Bristol,426,630,9658052,273,492574,,,
44001,Bristol,21,31,577926,274,43894,,,
51520,Bristol,0,0,0,275,2395,,,
2060,Bristol Bay,0,0,53053,276,4108,,,
30007,Broadwater,159,235,46426,277,3421,,,
36005,Bronx,0,0,10891063,278,537779,,,
54009,Brooke,71,105,358661,279,20194,,,
46011,Brookings,826,1222,540646,280,88590,,,
13027,Brooks,379,561,120965,281,15631,,,
48047,Brooks,239,354,69275,282,6389,,,
36007,Broome,454,672,4137858,283,208464,,,
8014,Broomfield,0,0,0,284,41436,,,
12011,Broward,237,351,32294900,285,1667903,,,
55009,Brown,973,1440,6290788,286,332874,,,
46013,Brown,937,1387,756732,287,51984,,,
27015,Brown,1049,1553,539134,288,41390,,,
48049,Brown,986,1459,537204,289,35750,,,
39015,Brown,1298,1921,295223,290,17460,,,
20013,Brown,574,850,160231,291,20823,,,
18013,Brown,155,229,119165,292,16224,,,
17009,Brown,316,468,104669,293,8186,,,
31017,Brown,271,401,41188,294,3198,,,
46015,Brule,360,533,73382,295,11565,,,
37019,Brunswick,195,289,993727,296,63870,,,
51025,Brunswick,290,429,168526,297,9834,,,
40013,Bryan,1240,1835,406826,298,25311,,,
13029,Bryan,49,73,173191,299,20956,,,
29021,Buchanan,633,937,1704910,300,88222,,,
51027,Buchanan,90,133,340885,301,26845,,,
19019,Buchanan,1022,1513,252880,302,44938,,,
51029,Buckingham,301,445,133027,303,14712,,,
42017,Bucks,547,810,12828381,304,462316,,,
19021,Buena Vista,793,1174,359016,305,40991,,,
51530,Buena Vista,0,0,0,306,138,,,
31019,Buffalo,920,1362,831447,307,56162,,,
55011,Buffalo,830,1228,250926,308,16836,,,
46017,Buffalo,67,99,23981,309,1693,,,
21029,Bullitt,527,780,447183,310,33894,,,
13031,Bulloch,464,687,726418,311,74436,,,
1011,Bullock,237,351,112918,312,15344,,,
37021,Buncombe,990,1465,4179527,313,152622,,,
17011,Bureau,1057,1564,498472,314,58176,,,
37023,Burke,312,462,1401007,315,90054,,,
13033,Burke,264,391,282825,316,1616,,,
38013,Burke,433,641,26543,317,4144,,,
38015,Burleigh,721,1067,1651520,318,104233,,,
48051,Burleson,1162,1720,131223,319,7595,,,
34005,Burlington,672,995,10629239,320,464454,,,
48053,Burnet,864,1279,413979,321,24745,,,
55013,Burnett,338,500,169591,322,16411,,,
31021,Burt,477,706,78529,323,8751,,,
39017,Butler,786,1163,5755212,324,324829,,,
42019,Butler,920,1362,2983064,325,135996,,,
29023,Butler,660,977,670040,326,42189,,,
20015,Butler,1112,1646,641896,327,46012,,,
1013,Butler,421,623,250277,328,21855,,,
19023,Butler,1006,1489,142795,329,16023,,,
21031,Butler,576,852,138023,330,8947,,,
31023,Butler,695,1029,86490,331,8349,,,
6007,Butte,1511,2236,2892227,332,145589,,,
16023,Butte,147,218,364301,333,39874,,,
46019,Butte,458,678,98604,334,7884,,,
13035,Butts,123,182,190314,335,19467,,,
37025,Cabarrus,391,579,2480781,336,133000,,,
54011,Cabell,300,444,2023277,337,138594,,,
49005,Cache,926,1370,1330854,338,111511,,,
22017,Caddo,403,596,5181309,339,256794,,,
40015,Caddo,1277,1890,287614,340,31300,,,
6009,Calaveras,381,564,392914,341,25564,,,
22019,Calcasieu,637,943,3413885,342,150643,,,
37027,Caldwell,292,432,1205393,343,33915,,,
48055,Caldwell,860,1273,228959,344,25059,,,
21033,Caldwell,467,691,148684,345,9715,,,
22021,Caldwell,210,311,79272,346,8645,,,
29025,Caldwell,733,1085,67743,347,4611,,,
50005,Caledonia,387,573,459292,348,33661,,,
26025,Calhoun,954,1412,2868051,349,143405,,,
1015,Calhoun,522,773,1786512,350,112952,,,
48057,Calhoun,208,308,566486,351,51009,,,
45017,Calhoun,225,333,191874,352,19302,,,
28013,Calhoun,347,514,156213,353,14790,,,
5013,Calhoun,109,161,138523,354,7662,,,
19025,Calhoun,783,1159,120818,355,22703,,,
12013,Calhoun,111,164,102886,356,7445,,,
13037,Calhoun,92,136,65812,357,6527,,,
54013,Calhoun,153,226,52517,358,3628,,,
17013,Calhoun,412,610,36329,359,2959,,,
48059,Callahan,674,998,81483,360,5272,,,
29027,Callaway,1166,1726,547293,361,9358,,,
21035,Calloway,630,932,593977,362,40974,,,
55015,Calumet,672,995,517230,363,42033,,,
24009,Calvert,367,543,818887,364,66423,,,
16025,Camas,69,102,9766,365,2244,,,
42021,Cambria,459,679,2168690,366,119115,,,
34007,Camden,152,225,10468335,367,386393,,,
13039,Camden,43,64,839312,368,56788,,,
