id,name,rate,earnings
18091,LaPorte,690,1842522
18019,Clark,574,1832726
42075,Lebanon,797,1825642
16027,Canyon,1623,1821263
37057,Davidson,793,1819685
48451,Tom Green,717,1815554
23001,Androscoggin,253,1811673
54061,Monongalia,382,1808232
4025,Yavapai,340,1800383
34041,Warren,581,1800057
17099,LaSalle,1426,1796587
39063,Hancock,871,1794832
1069,Houston,667,1794433
47009,Blount,929,1791608
37191,Wayne,769,1786933
1015,Calhoun,522,1786512
48181,Grayson,1632,1784652
1003,Baldwin,792,1783548
41003,Benton,579,1768782
56021,Laramie,431,1764492
20045,Douglas,730,1763310
47119,Maury,1345,1751373
39043,Erie,320,1748890
47011,Bradley,644,1738248
6031,Kings,792,1738113
26005,Allegan,1251,1735749
12061,Indian River,274,1730105
19169,Story,783,1729541
54107,Wood,446,1728832
39109,Miami,880,1727230
53015,Cowlitz,343,1719715
9015,Windham,372,1719464
51121,Montgomery,455,1713065
47165,Sumner,1485,1712084
13117,Forsyth,458,1706344
4021,Pinal,332,1705789
37127,Nash,463,1705262
29021,Buchanan,633,1704910
41043,Linn,1727,1704489
26017,Bay,676,1702993
17091,Kankakee,761,1686608
12109,St. Johns,119,1684843
13185,Lowndes,313,1679755
27139,Scott,746,1679647
16055,Kootenai,492,1658029
45085,Sumter,332,1653973
38015,Burleigh,721,1651520
13115,Floyd,386,1647478
16019,Bonneville,645,1646883
29099,Jefferson,586,1641773
29165,Platte,574,1629238
24045,Wicomico,587,1626954
34009,Cape May,146,1626360
4003,Cochise,652,1622033
56025,Natrona,200,1615327
51085,Hanover,480,1614267
21059,Daviess,1075,1602134
36015,Chemung,257,1601237
24017,Charles,433,1590870
22015,Bossier,341,1586188
36089,St. Lawrence,1247,1569045
18081,Johnson,491,1562114
13057,Cherokee,432,1558723
12087,Monroe,6,1554386
48469,Victoria,895,1550404
47125,Montgomery,795,1546496
27019,Carver,773,1544857
37101,Johnston,1230,1543155
21145,McCracken,379,1539381
4015,Mohave,147,1533261
51143,Pittsylvania,1192,1527931
1081,Lee,301,1519201
13113,Fayette,188,1518542
55127,Walworth,674,1515505
37195,Wilson,368,1509162
51095,James City,51,1509056
45015,Berkeley,278,1507319
6057,Nevada,386,1504382
22005,Ascension,282,1497279
42051,Fayette,701,1492806
39159,Union,657,1491499
6039,Madera,1221,1489876
29031,Cape Girardeau,1038,1483952
48037,Bowie,894,1474759
55071,Manitowoc,1188,1474444
12015,Charlotte,139,1473113
55027,Dodge,1669,1473099
41019,Douglas,1647,1467344
18085,Kosciusko,936,1463652
5031,Craighead,626,1461100
39119,Muskingum,936,1460690
36075,Oswego,607,1457843
55055,Jefferson,1116,1457045
37089,Henderson,434,1443728
17037,DeKalb,742,1437735
39055,Geauga,533,1430743
53007,Chelan,964,1428968
30013,Cascade,614,1427316
28035,Forrest,218,1426402
38035,Grand Forks,621,1424776
48005,Angelina,632,1418612
26045,Eaton,973,1415352
28033,DeSoto,432,1415324
13247,Rockdale,106,1414971
32510,Carson City city,21,1414308
22057,Lafourche,300,1407935
37023,Burke,312,1401007
33005,Cheshire,193,1400619
28075,Lauderdale,386,1399634
30031,Gallatin,649,1398146
36019,Clinton,399,1397627
50023,Washington,286,1396441
18063,Hendricks,673,1396425
8037,Eagle,94,1381276
48139,Ellis,1388,1379735
13151,Henry,318,1376672
5069,Jefferson,219,1371587
21073,Franklin,603,1370475
6045,Mendocino,908,1359773
26091,Lenawee,1069,1355693
54033,Harrison,499,1354970
13127,Glynn,32,1354094
1055,Etowah,717,1352451
47189,Wilson,1483,1347829
39045,Fairfield,852,1341513
19155,Pottawattamie,1145,1337688
42063,Indiana,664,1337215
47063,Hamblen,670,1336627
13179,Liberty,45,1335243
45077,Pickens,469,1331743
49005,Cache,926,1330854
48209,Hays,632,1330816
21209,Scott,752,1328277
37045,Cleveland,639,1325422
13015,Bartow,343,1321732
5045,Faulkner,967,1319552
48251,Johnson,1629,1316739
55097,Portage,825,1312096
13285,Troup,224,1303325
12019,Clay,182,1302760
27013,Blue Earth,959,1300363
18177,Wayne,667,1298862
36113,Warren,51,1293607
42001,Adams,803,1292353
37155,Robeson,998,1290390
30029,Flathead,736,1289199
37125,Moore,626,1286327
45047,Greenwood,361,1284458
39149,Shelby,819,1282865
13045,Carroll,734,1282108
29071,Franklin,1395,1280465
54081,Raleigh,220,1278530
35043,Sandoval,270,1273820
39157,Tuscarawas,824,1261629
55111,Sauk,1175,1255356
39007,Ashtabula,919,1248757
17183,Vermilion,970,1246377
42039,Crawford,1008,1245035
39029,Columbiana,878,1244943
42073,Lawrence,559,1229756
5051,Garland,339,1229610
37171,Surry,1128,1229025
1095,Marshall,1241,1226666
18053,Grant,534,1225850
45075,Orangeburg,797,1223423
51191,Washington,1724,1220972
36009,Cattaraugus,832,1220754
17001,Adams,1268,1217534
20169,Saline,597,1216293
27171,Wright,1417,1213187
28089,Madison,389,1212299
51149,Prince George,138,1205715
37027,Caldwell,292,1205393
51053,Dinwiddie,306,1205328
30049,Lewis and Clark,376,1203518
13097,Douglas,93,1200963
47141,Putnam,985,1200018
42097,Northumberland,494,1196090
37157,Rockingham,783,1194034
20103,Leavenworth,951,1192807
22045,Iberia,304,1188421
